	Scientific Name	Common Name	Region	Family	First Listed	Taxonomic Group	Status	Type
186	Allium tribracteatum	Siskiyou onion	CA	liliaceae		Flowering Plants	Not Listed	P
187	Allium tuolumnense	Rawhide Hill onion	CA	liliaceae		Flowering Plants	Not Listed	P
188	Allium yosemitense	Yosemite onion	CA	liliaceae		Flowering Plants	Not Listed	P
189	Allocapnia brooksi	Sevier snowfly	TN	capniidae		Insects	Under Review in the Candidate or Petition Process	I
190	Allocapnia cunninghami	Karst snowfly	KY, TN	capniidae		Insects	Under Review in the Candidate or Petition Process	I
191	Allocapnia fumosa	Smokies snowfly	NC, TN, VA	capniidae		Insects	Not Listed	I
192	Allocrangonyx hubrichti	Central Missouri cave amphipod	MO	gammaridae		Crustaceans	Not Listed	I
193	Allocrangonyx pellucidus	Oklahoma cave amphipod	OK	gammaridae		Crustaceans	Not Listed	I
194	Allomyia hector			apataniidae		Insects	Not Listed	I
195	Alloperla natchez	Natchez stonefly	MS	chloroperlidae		Insects	Not Listed	I
196	Alloperla roberti	Robert's alloperlan stonefly	IL	chloroperlidae		Insects	Not Listed	I
197	Allowissadula holosericea		TX	malvaceae		Flowering Plants	Not Listed	P
198	Alnus maritima	Seaside alder	DE, GA, MD, OK	betulaceae		Flowering Plants	Not Listed	P
199	Alopecurus aequalis var. sonomensis	Sonoma alopecurus	CA	poaceae	1997.0	Flowering Plants	Endangered	P
200	Alphitonia ponderosa	Kauila	HI	rhamnaceae		Flowering Plants	Not Listed	P
201	Alsophila brooksii		PR, VI	cyatheaceae		Ferns and Allies	Not Listed	P
202	Alsophis sancticrucis	St. Croix racer	VI	colubridae		Reptiles	Not Listed	V
203	Amaranthus brownii		HI	amaranthaceae	1996.0	Flowering Plants	Endangered	P
204	Amaranthus pumilus	Seabeach amaranth	DE, MD, NC, NJ, NY, SC, VA	amaranthaceae	1993.0	Flowering Plants	Threatened	P
205	Amazona viridigenalis	Red-crowned parrot	TX	psittacidae		Birds	Not Listed	V
206	Amazona vittata	Puerto Rican parrot	PR	psittacidae	1967.0	Birds	Endangered	V
207	Amblema neislerii	Fat threeridge (mussel)	FL, GA	unionidae	1998.0	Clams	Endangered	I
208	Amblyderus werneri	Great Sand Dunes Anthicid Beetle		anthicidae		Insects	Not Listed	I
209	Amblyopsis rosae	Ozark cavefish	AR, MO, OK	amblyopsidae	1984.0	Fishes	Threatened	V
210	Amblyopsis spelaea	Northern cavefish	IN, KY	amblyopsidae		Fishes	Under Review in the Candidate or Petition Process	V
211	Amblyscirtes linda	Linda's Roadside-skipper	AR, IL, KY, OK, TN	hesperiidae		Insects	Under Review in the Candidate or Petition Process	I
212	Ambrosia cheiranthifolia	South Texas ambrosia	TX	asteraceae	1994.0	Flowering Plants	Endangered	P
213	Ambrosia linearis	 ambrosia	CO	asteraceae		Flowering Plants	Not Listed	P
214	Ambrosia pumila	San Diego ambrosia	CA	asteraceae	2002.0	Flowering Plants	Endangered	P
215	Ambrysus amargosus	Ash Meadows naucorid	NV	naucoridae	1985.0	Insects	Threatened	I
216	Ambrysus funebris	Nevares Spring naucorid bug (=Furnace Creek)	CA	naucoridae		Insects	Not Listed	I
217	Ambystoma barbouri	Streamside salamander	IN, KY, OH, TN, WV	ambystomatidae		Amphibians	Under Review in the Candidate or Petition Process	V
218	Ambystoma bishopi	Reticulated flatwoods salamander	FL, GA	ambystomatidae	2009.0	Amphibians	Endangered	V
219	Ambystoma californiense	California tiger Salamander	CA	ambystomatidae	2004.0	Amphibians	Threatened	V
220	Ambystoma californiense	California tiger Salamander	CA	ambystomatidae	2000.0	Amphibians	Endangered	V
221	Ambystoma californiense	California tiger Salamander	CA	ambystomatidae	2002.0	Amphibians	Endangered	V
222	Ambystoma cingulatum	Frosted Flatwoods salamander	FL, GA, SC	ambystomatidae	1999.0	Amphibians	Threatened	V
223	ambystoma gracile	Northwestern salamander		ambystomatidae		Amphibians	Not Listed	V
224	Ambystoma macrodactylum croceum	Santa Cruz long-toed salamander	CA	ambystomatidae	1967.0	Amphibians	Endangered	V
225	Ambystoma tigrinum stebbinsi	Sonora tiger Salamander	AZ	ambystomatidae	1997.0	Amphibians	Endangered	V
226	Ameiva polops	St. Croix ground lizard	VI	teiidae	1977.0	Reptiles	Endangered	V
227	Ameiva wetmorei	Blue-tailed ground lizard	PR, VI	teiidae		Reptiles	Not Listed	V
228	Amelanchier nantucketensis	 service-berry	MA, NY	rosaceae		Flowering Plants	Not Listed	P
229	Ameletus edmundsi			ameletidae		Insects	Not Listed	I
230	Ameletus falsus	False ameletus mayfly	AZ	siphlonuridae		Insects	Not Listed	I
231	amergoniscus centalis			trichoniscidae		Crustaceans	Not Listed	I
232	amergoniscus gipsocolus			trichoniscidae		Crustaceans	Not Listed	I
233	Ammocrypta pellucida	Eastern sand darter	IL, IN, KY, MI, NY, OH, PA, VT, WV	percidae		Fishes	Not Listed	V
234	Ammodramus bairdii	Baird's sparrow	CO, ID, KS, MN, MO, MT, ND, NE, NM, OK, SD, TX, WY	emberizidae		Birds	Not Listed	V
